read_accession,read_tot
ERR526007,48932496
ERR526008,45615480
ERR526009,48371180
ERR526010,29986450
ERR526011,38538940
ERR526012,49122900
ERR526013,43387926
ERR526014,35965186
ERR526015,38447536
ERR526016,53835110
ERR526017,38016296
ERR526018,28325826
ERR526019,36638378
ERR526020,36830570
ERR526021,38128552
ERR526022,10082492
ERR526023,36063956
ERR526024,28547680
ERR526025,9555358
ERR526026,30951146
ERR526027,36793472
ERR526028,32737764
ERR526029,34834636
ERR526030,24389770
ERR526031,34593178
ERR526032,21898762
ERR526033,28569572
ERR526034,24396598
ERR526035,30224452
ERR526036,26935196
ERR526037,25714922
ERR526038,24750606
ERR526039,35654634
ERR526040,35724694
ERR526041,35753242
ERR526042,25543550
ERR526043,37873776
ERR526044,30926608
ERR526045,33081976
ERR526046,30651906
ERR526047,30453462
ERR526048,38903248
ERR526049,34488582
ERR526050,34662230
ERR526051,37747474
ERR526052,35490462
ERR526053,37688850
ERR526054,8477416
ERR526055,36289592
ERR526056,56566616
ERR526057,41561500
ERR526058,25374888
ERR526059,50971338
ERR526060,40372736
ERR526061,37311808
ERR526062,23031278
ERR526063,38834480
ERR526064,54561744
ERR526065,44241624
ERR526066,56218302
ERR526067,51052244
ERR526068,35836968
ERR526069,29034366
ERR526070,50557510
ERR526071,52050994
ERR526072,30334178
ERR526073,33950616
ERR526074,32494830
ERR526075,37238406
ERR526076,42010068
ERR526077,34813062
ERR526078,32997962
ERR526079,42256028
ERR526080,38079638
ERR526081,57768688
ERR526082,38355560
ERR526083,33712392
ERR526084,51286372
ERR526085,48529940
ERR526086,55277092
ERR526087,47653548
